,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box,category_map,brand_encoding,online_only_No,online_only_Yes,exclusive_No,exclusive_Yes,limited_edition_No,limited_edition_Yes,rating_map
257,CLEAN RESERVE,Perfume,4.5,-0.028169014084507,-0.0194893782888325,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
258,CLEAN RESERVE,Perfume,4.5,0.0751173708920187,0.0194893782888325,24.0,No,No,No,5.297579160743061,3,22,1,0,1,0,1,0,1
259,CLEAN RESERVE,Perfume,4.5,-0.1126760563380281,-0.1559150263106607,74.0,No,No,No,8.749506568302204,3,22,1,0,1,0,1,0,1
260,CLEAN RESERVE,Perfume,4.5,-0.1971830985915492,-0.2976028064704736,68.0,Yes,No,No,8.448150593342275,3,22,0,1,1,0,1,0,1
261,CLEAN RESERVE,Perfume,3.5,-0.1877934272300469,-0.302085363476905,44.0,No,No,Yes,7.011452756585834,3,22,1,0,1,0,0,1,1
262,CLEAN RESERVE,Cologne,4.5,-0.1877934272300469,-0.3447671019294484,72.0,Yes,No,No,8.651025360870298,2,22,0,1,1,0,1,0,1
263,CLEAN RESERVE,Perfume,4.5,-0.1032863849765258,-0.0779575131553303,98.0,No,No,No,9.806965006640148,3,22,1,0,1,0,1,0,1
264,CLEAN RESERVE,Perfume,4.5,-0.1220657276995305,-0.1948937828883258,98.0,No,Yes,No,9.806965006640148,3,22,1,0,0,1,1,0,1
265,CLINIQUE,Perfume,4.5,5.661971830985915,2.592087312414734,53.0,No,No,No,7.6029110335884,3,10,1,0,1,0,1,0,1
266,CLINIQUE,Perfume,5.0,-0.215962441314554,-0.1559150263106607,53.0,Yes,No,No,7.6029110335884,3,10,0,1,1,0,1,0,1
267,CLINIQUE,Perfume,4.0,0.3286384976525822,-0.0194893782888325,55.5,No,No,No,7.754536515778371,3,10,1,0,1,0,1,0,1
268,CLINIQUE,Cologne,5.0,0.4788732394366197,-0.0584681348664977,52.0,No,No,No,7.540854407524989,2,10,1,0,1,0,1,0,1
269,CLINIQUE,Perfume Gift Sets,0.0,-0.2535211267605634,-0.4129799259403625,55.0,Yes,No,Yes,7.72460071065679,1,10,0,1,1,0,0,1,1
