,brand,category,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
607,Maison Louis Marie,Perfume,5.0,-0.2347417840375587,-0.2675891639056714,85.0,No,No,No,9.260148490029655
608,Maison Louis Marie,Perfume,3.5,-0.20657276995305165,-0.3026700448255701,57.0,No,No,No,7.843223226986439
609,Maison Louis Marie,Perfume,3.0,-0.24413145539906103,-0.3632820113038394,85.0,No,No,No,9.260148490029655
610,Maison Margiela,Cologne,4.5,3.643192488262911,3.2547261742350417,130.0,No,No,No,10.963919948435288
611,Maison Margiela,Perfume,4.0,2.0375586854460095,3.001364256480218,130.0,No,No,No,10.963919948435288
612,Maison Margiela,Perfume,4.0,7.417840375586854,6.78230364451374,130.0,No,No,No,10.963919948435288
613,Maison Margiela,Perfume,4.5,7.859154929577465,7.7372831806665365,130.0,No,No,No,10.963919948435288
614,Maison Margiela,Perfume Gift Sets,4.0,0.28169014084507044,1.9684272071720912,35.0,No,Yes,Yes,6.327749712805777
615,Maison Margiela,Perfume,4.5,1.9248826291079812,0.8965114012862989,130.0,No,No,No,10.963919948435288
616,Maison Margiela,Perfume,4.0,1.051643192488263,0.2923406743324888,130.0,No,Yes,No,10.963919948435288
617,Maison Margiela,Perfume,4.5,0.7605633802816901,1.7345546677061001,130.0,No,No,No,10.963919948435288
618,Maison Margiela,Perfume Gift Sets,4.5,-0.07511737089201878,1.7735334242837653,68.0,No,Yes,Yes,8.448150593342275
619,Maison Margiela,Perfume,4.0,1.323943661971831,2.2412785032157476,130.0,No,No,No,10.963919948435288
620,Maison Margiela,Perfume Gift Sets,3.5,-0.22535211267605634,0.09744689144416294,66.0,No,No,No,8.343558863768457
621,Maison Margiela,Perfume,4.5,1.5774647887323943,0.565191970376145,130.0,No,No,No,10.963919948435288
622,Maison Margiela,Cologne,4.0,0.4413145539906103,0.2923406743324888,130.0,No,No,No,10.963919948435288
623,Maison Margiela,Perfume Gift Sets,5.0,-0.14084507042253522,0.331319430910154,66.0,No,No,No,8.343558863768457
624,Maison Margiela,Perfume Gift Sets,1.0,-0.24413145539906103,-0.32683687390372246,35.0,No,Yes,No,6.327749712805777
625,Maison Margiela,Perfume,4.5,0.0,0.48723445722081465,30.0,No,Yes,No,5.892806489984965
626,Maison Margiela,Perfume Gift Sets,3.5,-0.14084507042253522,0.25336191775482364,25.0,No,Yes,No,5.403531282328869
627,Maison Margiela,Perfume,4.0,2.704225352112676,1.890469694016761,130.0,No,No,No,10.963919948435288
628,Maison Margiela,Perfume,3.5,1.0704225352112675,0.4287663223543169,130.0,No,No,No,10.963919948435288
629,Maison Margiela,Perfume,3.5,-0.03755868544600939,0.07795751315533035,180.0,No,No,No,12.422911650629937
630,Maison Margiela,Perfume,4.0,-0.1784037558685446,-0.23913467160397583,30.0,No,Yes,No,5.892806489984965
631,Maison Margiela,Perfume,4.0,-0.018779342723004695,0.019489378288832588,30.0,No,Yes,No,5.892806489984965
632,Marc Jacobs Fragrances,Perfume,4.5,9.136150234741784,16.098226466575717,106.0,No,No,No,10.118547853533446
633,Marc Jacobs Fragrances,Perfume,4.5,8.413145539906104,8.20502825959852,118.0,No,No,No,10.556346352542793
634,Marc Jacobs Fragrances,Perfume,4.5,2.075117370892019,2.5531085558370687,106.0,No,No,No,10.118547853533446
635,Marc Jacobs Fragrances,Perfume,4.0,2.3943661971830985,4.268173845254337,86.0,No,No,No,9.304217753435424
636,Marc Jacobs Fragrances,Perfume,4.5,1.4741784037558685,1.13038394075229,106.0,No,No,No,10.118547853533446
637,Marc Jacobs Fragrances,Perfume Gift Sets,4.5,0.08450704225352113,1.890469694016761,22.0,No,Yes,Yes,5.076002742512173
638,Marc Jacobs Fragrances,Fragrance,0.0,-0.2535211267605634,-0.3015006821282401,55.0,No,No,Yes,7.72460071065679
639,Marc Jacobs Fragrances,Perfume,5.0,-0.13145539906103287,-0.11693626973299552,86.0,No,Yes,Yes,9.304217753435424
640,Marc Jacobs Fragrances,Cologne,5.0,0.5352112676056338,0.0,93.0,No,No,No,9.60304998506914
641,Marc Jacobs Fragrances,Perfume,4.0,0.7793427230046949,0.7990645098421361,99.0,No,No,No,9.846867029289216
642,Marc Jacobs Fragrances,Perfume,5.0,-0.20657276995305165,-0.07795751315533035,86.0,No,Yes,Yes,9.304217753435424
643,Marc Jacobs Fragrances,Perfume,4.5,1.568075117370892,1.0134476710192946,95.0,No,No,No,9.685517901520962
644,Marc Jacobs Fragrances,Perfume Gift Sets,0.0,-0.2535211267605634,-0.38257649580978365,114.0,Yes,No,Yes,10.414036550325743
645,Marc Jacobs Fragrances,Perfume,4.5,0.3568075117370892,0.7795751315533035,95.0,No,No,No,9.685517901520962
646,Marc Jacobs Fragrances,Perfume,4.0,0.06572769953051644,0.17540440459949327,62.0,No,No,Yes,8.127508568100522
647,Marc Jacobs Fragrances,Perfume,4.5,-0.215962441314554,-0.17540440459949327,100.0,No,Yes,Yes,9.886487181936577
648,Marc Jacobs Fragrances,Perfume,4.0,-0.24413145539906103,-0.28512960436562074,86.0,No,Yes,Yes,9.304217753435424
649,Marc Jacobs Fragrances,Perfume,4.0,0.09389671361502347,-0.038978756577665176,62.0,No,No,Yes,8.127508568100522
650,Marc Jacobs Fragrances,Perfume,4.0,-0.056338028169014086,-0.09744689144416294,62.0,No,No,Yes,8.127508568100522
651,Marc Jacobs Fragrances,Perfume Gift Sets,0.0,-0.2535211267605634,-0.30988111479243813,90.0,No,Yes,Yes,9.476981766170557
652,Marc Jacobs Fragrances,Perfume Gift Sets,4.5,-0.1784037558685446,-0.19489378288832587,90.0,No,Yes,Yes,9.476981766170557
653,Marc Jacobs Fragrances,Perfume Gift Sets,0.0,-0.2535211267605634,-0.11693626973299552,45.0,No,Yes,No,7.081144362518933
654,Michael Kors,Perfume,4.5,4.535211267605634,1.695575911128435,118.0,Yes,No,No,10.556346352542793
655,Michael Kors,Perfume,4.0,0.215962441314554,0.565191970376145,118.0,Yes,No,No,10.556346352542793
656,Michael Kors,Perfume,4.5,0.215962441314554,0.5457025920873124,112.0,No,No,No,10.341564235665905
657,Michael Kors,Perfume Gift Sets,0.0,-0.2535211267605634,-0.4077177938023777,122.0,Yes,No,Yes,10.69530969343442
658,Michael Kors,Cologne,5.0,-0.18779342723004694,-0.2765542779185344,56.0,Yes,No,No,7.784283642881873
659,Miu Miu,Perfume,4.0,0.40375586854460094,0.23387253946599104,99.0,No,No,No,9.846867029289216
660,Miu Miu,Perfume Gift Sets,4.5,-0.12206572769953052,1.6371077762619373,28.0,Yes,Yes,Yes,5.70452318145842
661,Miu Miu,Perfume,3.5,2.572769953051643,1.5786396413954396,126.0,No,No,No,10.831111229874148
662,Miu Miu,Perfume,4.0,0.5164319248826291,1.0914051841746248,107.0,No,No,No,10.156321937926906
663,Miu Miu,Perfume,3.5,1.0985915492957747,0.8575326447086338,126.0,No,No,No,10.831111229874148
664,Miu Miu,Perfume Gift Sets,5.0,-0.24413145539906103,-0.23387253946599104,35.0,No,No,Yes,6.327749712805777
665,Miu Miu,Perfume,4.0,-0.10328638497652583,0.019489378288832588,99.0,No,No,No,9.846867029289216
666,Miu Miu,Perfume Gift Sets,5.0,-0.2347417840375587,-0.3186513350224128,87.0,No,No,Yes,9.347928840156936
667,Miu Miu,Perfume Gift Sets,0.0,-0.2535211267605634,-0.3691288247904892,85.0,Yes,No,Yes,9.260148490029655
668,Montblanc,Cologne,5.0,1.136150234741784,0.565191970376145,92.0,No,No,No,9.561348581144523
669,Montblanc,Perfume,5.0,-0.16901408450704225,-0.3270317676866108,98.0,No,No,No,9.806965006640148
670,Montblanc,Cologne,5.0,0.009389671361502348,-0.1364256480218281,75.0,No,No,No,8.798047900293017
671,Montblanc,Cologne,5.0,-0.19718309859154928,-0.30208536347690507,78.0,No,No,No,8.940999128028045
672,Moschino,Perfume,4.5,0.26291079812206575,0.8380432664198012,76.0,Yes,No,No,8.846137110936349
673,Moschino,Cologne,4.0,-0.215962441314554,-0.3685441434418242,96.0,Yes,No,No,9.726295563932634
674,Moschino,Perfume Gift Sets,4.0,-0.15023474178403756,0.19489378288832587,20.0,No,No,No,4.839800743255356
675,Moschino,Perfume,4.0,0.863849765258216,2.5531085558370687,62.0,No,No,No,8.127508568100522
676,Mugler,Perfume,4.5,7.84037558685446,4.404599493276164,120.0,No,No,No,10.626234399741618
677,Mugler,Perfume,4.0,9.136150234741784,3.761450009744689,84.0,No,No,No,9.215713848773868
678,Mugler,Perfume,4.0,0.056338028169014086,-0.038978756577665176,70.0,No,No,No,8.550605122246802
679,Narciso Rodriguez,Perfume,4.5,5.55868544600939,1.9879165854609238,58.0,No,No,No,7.901441522764385
680,Narciso Rodriguez,Perfume,4.5,-0.10328638497652583,-0.17540440459949327,100.0,Yes,No,No,9.886487181936577
