,brand,category,size,rating,number_of_reviews,love,price,online_only,exclusive,limited_edition,price_box
221,CHANEL,Perfume,5 oz/ 150 mL,5.0,2,1400,60.0,Yes,No,No,8.01579744448119
222,Chloé,Perfume,2.5 oz/ 75 mL,4.5,1000,89000,132.0,No,No,No,11.029250964463213
223,Chloé,Perfume,2.5 oz/ 75 mL,4.5,467,28500,125.0,No,No,No,10.797447773219952
224,Chloé,Perfume,2.5 oz/ 75 mL,4.0,258,14300,132.0,No,No,No,11.029250964463213
225,Chloé,Perfume,2.5 oz/ 75 mL,4.5,194,13100,132.0,No,No,No,11.029250964463213
226,Chloé,Perfume Gift Sets,no size,3.0,13,4600,29.0,No,No,Yes,5.79980421045907
227,Chloé,Perfume,3.4 oz/ 100 mL,4.0,326,1600,119.0,No,No,No,10.591393419318646
228,Chloé,Perfume,2.5 oz/ 74 mL,4.0,62,6500,132.0,No,No,No,11.029250964463213
229,Chloé,Perfume,2.5 oz/ 75 mL,4.0,210,543,142.0,Yes,No,No,11.345879430108056
230,Chloé,Perfume,2.5 oz/ 75 mL,4.5,20,2800,145.0,No,No,Yes,11.437805170767305
231,Chloé,Perfume,1.7oz/50mL,4.0,84,896,95.0,No,No,No,9.685517901520962
232,Chloé,Perfume,2.5 oz/ 75 mL,4.5,28,1800,132.0,No,No,No,11.029250964463213
233,Chloé,Perfume,2.5 oz/ 74 mL,5.0,4,1900,115.0,No,No,No,10.449938475397243
234,Chloé,Perfume,2.5 oz/ 74 mL,4.5,7,1800,115.0,No,No,No,10.449938475397243
235,CLEAN RESERVE,Perfume,3.4 oz/ 100 mL,4.5,22,1100,98.0,No,Yes,Yes,9.806965006640148
236,CLEAN RESERVE,Perfume,3.4 oz/ 100 mL,4.5,135,5400,98.0,No,Yes,No,9.806965006640148
237,CLEAN RESERVE,Fragrance,5 x 0.17oz/ 5 mL,0.0,0,1300,48.0,No,Yes,No,7.28390388000638
238,CLEAN RESERVE,Perfume,3.4 oz/ 101 mL,4.5,105,5400,98.0,No,No,No,9.806965006640148
239,CLEAN RESERVE,Perfume,3.4 oz/ 100 mL,4.5,87,5500,98.0,No,No,No,9.806965006640148
240,CLEAN RESERVE,Fragrance,0.34 oz/ 10 mL,5.0,6,1700,28.0,No,Yes,No,5.70452318145842
241,CLEAN RESERVE,Perfume,3.4oz/100mL,4.0,49,2600,98.0,No,Yes,No,9.806965006640148
242,CLEAN RESERVE,Perfume,3.4 oz/ 101 mL,3.0,207,2900,98.0,No,No,No,9.806965006640148
243,CLEAN RESERVE,Perfume,1oz/30mL ,4.5,318,10300,44.0,No,No,No,7.011452756585834
244,CLEAN RESERVE,Perfume,2oz/60mL,4.0,533,10100,74.0,No,No,No,8.749506568302204
245,CLEAN RESERVE,Perfume,3.4 oz/ 100 mL,4.0,115,3500,98.0,No,No,No,9.806965006640148
246,CLEAN RESERVE,Perfume,3.4 oz/ 100 mL,4.5,61,4600,98.0,No,No,No,9.806965006640148
247,CLEAN RESERVE,Perfume,2oz/60mL ,4.0,128,4900,74.0,No,No,No,8.749506568302204
248,CLEAN RESERVE,Perfume,2oz/60mL,4.0,117,5500,74.0,No,No,No,8.749506568302204
